true,N,fr,pred,correct,d_cvll
step,20,40.0,ramp,0,-0.2517129270008809
step,20,40.0,ramp,0,-0.2964183024731142
step,20,40.0,step,1,1.4846422226933669
step,20,40.0,ramp,0,-0.5579532364386068
step,20,40.0,step,1,2.0389679317000855
step,20,40.0,step,1,0.5294055388764036
step,20,40.0,step,1,0.07613971075096515
step,20,40.0,step,1,0.3468638006110041
step,20,40.0,step,1,0.7725544290924518
step,20,40.0,ramp,0,-0.2986467626535614
step,20,40.0,ramp,0,-0.6782917954078584
step,20,40.0,step,1,1.987404606690916
step,20,40.0,step,1,1.2233736365743653
step,20,40.0,step,1,0.5835548678640521
step,20,40.0,step,1,2.107635999580225
step,20,40.0,ramp,0,-0.9221785102045033
step,20,40.0,step,1,3.5359721497408714
step,20,40.0,step,1,3.0821796423934416
step,20,40.0,ramp,0,-2.8235344288542024
step,20,40.0,step,1,1.231921723517246
step,20,40.0,step,1,2.120480617517728
step,20,40.0,step,1,3.525601491717339
step,20,40.0,ramp,0,-0.40215312904086886
step,40,2.0,ramp,0,-0.3730505745802333
step,40,2.0,ramp,0,-0.5103228890951357
step,40,2.0,step,1,0.5942925581955194
step,40,2.0,step,1,0.4280539827367278
step,40,2.0,step,1,0.6503814938647565
step,40,2.0,step,1,1.8026090278145546
step,40,2.0,step,1,0.013679106736859126
step,40,2.0,step,1,0.9450686542582645
step,40,2.0,ramp,0,-1.8745381197368545
step,40,2.0,ramp,0,-1.1518541518831285
step,40,2.0,ramp,0,-0.03933885086709665
step,40,2.0,ramp,0,-0.08775945383062833
step,40,2.0,step,1,1.0827120447222711
step,40,2.0,step,1,0.18946709554890617
step,40,2.0,ramp,0,-0.14001172850383625
step,40,2.0,ramp,0,-0.29521893826414214
step,40,2.0,step,1,0.4006660079347739
step,40,2.0,step,1,0.054781719432796194
step,40,2.0,ramp,0,-0.31235972433967163
step,40,2.0,step,1,0.15340254313484536
step,40,2.0,ramp,0,-0.01034072413715137
step,40,2.0,ramp,0,-1.3975962231089198
step,40,2.0,step,1,1.0569784517815606
step,40,2.0,ramp,0,-0.39212730267404083
step,40,2.0,step,1,4.493852554181501
step,40,2.0,ramp,0,-0.05792884534660914
step,40,2.0,ramp,0,-0.769054130757425
step,40,2.0,step,1,1.985626729484693
