cell,auc_before,auc_after,n
478de1ce-d7e7-4221-9365-2abdc6e88fb6:296,0.5570599613152805,0.5251450676982592,91
478de1ce-d7e7-4221-9365-2abdc6e88fb6:31,0.5556092843326885,0.553191489361702,91
478de1ce-d7e7-4221-9365-2abdc6e88fb6:332,0.3031914893617021,0.29255319148936165,91
478de1ce-d7e7-4221-9365-2abdc6e88fb6:52,0.5880077369439072,0.5889748549323018,91
485b50c8-71e1-4654-9a07-64395c15f5ed:0,0.39375,0.36875,47
485b50c8-71e1-4654-9a07-64395c15f5ed:13,0.49479166666666663,0.47916666666666663,47
485b50c8-71e1-4654-9a07-64395c15f5ed:2,0.35625,0.3541666666666667,47
485b50c8-71e1-4654-9a07-64395c15f5ed:20,0.5354166666666667,0.5354166666666667,47
485b50c8-71e1-4654-9a07-64395c15f5ed:28,0.43125,0.4604166666666667,47
485b50c8-71e1-4654-9a07-64395c15f5ed:33,0.42291666666666666,0.41874999999999996,47
485b50c8-71e1-4654-9a07-64395c15f5ed:49,0.40208333333333335,0.38125,47
485b50c8-71e1-4654-9a07-64395c15f5ed:50,0.4125,0.41458333333333336,47
485b50c8-71e1-4654-9a07-64395c15f5ed:54,0.5375,0.53125,47
485b50c8-71e1-4654-9a07-64395c15f5ed:70,0.575,0.5895833333333333,47
485b50c8-71e1-4654-9a07-64395c15f5ed:73,0.4770833333333333,0.47291666666666665,47
485b50c8-71e1-4654-9a07-64395c15f5ed:75,0.4083333333333333,0.39166666666666666,47
485b50c8-71e1-4654-9a07-64395c15f5ed:78,0.6645833333333333,0.6708333333333334,47
485b50c8-71e1-4654-9a07-64395c15f5ed:9,0.6479166666666667,0.6708333333333334,47
530f1670-9412-44ac-afdb-935d46bcaad3:135,0.32222222222222224,0.35,28
530f1670-9412-44ac-afdb-935d46bcaad3:138,0.5611111111111111,0.5166666666666666,28
530f1670-9412-44ac-afdb-935d46bcaad3:139,0.43333333333333335,0.5611111111111111,28
530f1670-9412-44ac-afdb-935d46bcaad3:145,0.4305555555555556,0.5166666666666666,28
530f1670-9412-44ac-afdb-935d46bcaad3:153,0.5222222222222221,0.5111111111111111,28
530f1670-9412-44ac-afdb-935d46bcaad3:155,0.65,0.5222222222222221,28
530f1670-9412-44ac-afdb-935d46bcaad3:167,0.3555555555555555,0.3888888888888889,28
530f1670-9412-44ac-afdb-935d46bcaad3:199,0.5,0.4222222222222222,28
530f1670-9412-44ac-afdb-935d46bcaad3:212,0.8000000000000002,0.5277777777777778,28
530f1670-9412-44ac-afdb-935d46bcaad3:214,0.6222222222222222,0.5777777777777777,28
530f1670-9412-44ac-afdb-935d46bcaad3:228,0.6055555555555555,0.5444444444444444,28
530f1670-9412-44ac-afdb-935d46bcaad3:234,0.27222222222222225,0.4611111111111111,28
530f1670-9412-44ac-afdb-935d46bcaad3:235,0.6333333333333334,0.5611111111111111,28
530f1670-9412-44ac-afdb-935d46bcaad3:252,0.7166666666666667,0.7222222222222222,28
530f1670-9412-44ac-afdb-935d46bcaad3:253,0.5944444444444444,0.5777777777777777,28
530f1670-9412-44ac-afdb-935d46bcaad3:277,0.48888888888888893,0.37222222222222223,28
530f1670-9412-44ac-afdb-935d46bcaad3:288,0.5333333333333333,0.5,28
530f1670-9412-44ac-afdb-935d46bcaad3:294,0.34444444444444444,0.38888888888888884,28
530f1670-9412-44ac-afdb-935d46bcaad3:299,0.3833333333333333,0.45555555555555555,28
530f1670-9412-44ac-afdb-935d46bcaad3:80,0.6333333333333333,0.5277777777777778,28
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:21,0.5800636267232239,0.5729056203605514,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:22,0.5535524920466596,0.5241251325556734,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:327,0.5201484623541888,0.503711558854719,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:333,0.5251855779427359,0.579798515376458,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:336,0.4642099681866384,0.4774655355249205,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:347,0.6102863202545068,0.6089607635206787,128
