cell,auc_before,auc_after,n
a94a0023-d461-49fa-8cc6-032237039c27:807,0.3939393939393939,0.43434343434343436,20
a94a0023-d461-49fa-8cc6-032237039c27:819,0.5151515151515151,0.5555555555555556,20
a94a0023-d461-49fa-8cc6-032237039c27:825,0.3838383838383838,0.3838383838383838,20
a94a0023-d461-49fa-8cc6-032237039c27:874,0.7272727272727273,0.6666666666666666,20
a94a0023-d461-49fa-8cc6-032237039c27:875,0.31818181818181823,0.2828282828282829,20
a94a0023-d461-49fa-8cc6-032237039c27:893,0.46464646464646464,0.5151515151515151,20
a94a0023-d461-49fa-8cc6-032237039c27:903,0.5252525252525253,0.6161616161616161,20
a94a0023-d461-49fa-8cc6-032237039c27:928,0.7373737373737375,0.6767676767676768,20
a94a0023-d461-49fa-8cc6-032237039c27:949,0.6464646464646464,0.5656565656565656,20
a94a0023-d461-49fa-8cc6-032237039c27:991,0.6464646464646464,0.6868686868686869,20
ac680ec5-6f89-4739-9848-9d76fc0e017f:415,0.6473214285714286,0.5625,22
ac680ec5-6f89-4739-9848-9d76fc0e017f:452,0.5357142857142857,0.45535714285714285,22
ac680ec5-6f89-4739-9848-9d76fc0e017f:488,0.2946428571428572,0.32142857142857145,22
ac680ec5-6f89-4739-9848-9d76fc0e017f:491,0.5535714285714286,0.5267857142857142,22
ac680ec5-6f89-4739-9848-9d76fc0e017f:498,0.7678571428571428,0.6696428571428572,22
ac680ec5-6f89-4739-9848-9d76fc0e017f:502,0.7232142857142857,0.6607142857142857,22
ac680ec5-6f89-4739-9848-9d76fc0e017f:515,0.4553571428571428,0.5357142857142857,22
ac680ec5-6f89-4739-9848-9d76fc0e017f:524,0.25892857142857145,0.25,22
ac680ec5-6f89-4739-9848-9d76fc0e017f:536,0.34821428571428575,0.3482142857142857,22
b543e81e-4c8f-415e-82ec-631b177d19d2:159,0.4740190880169671,0.47693531283138924,128
b543e81e-4c8f-415e-82ec-631b177d19d2:168,0.7823435843054083,0.7584835630965006,128
b543e81e-4c8f-415e-82ec-631b177d19d2:169,0.39435312831389185,0.409066808059385,128
b543e81e-4c8f-415e-82ec-631b177d19d2:172,0.30408271474019094,0.29612937433722164,128
b543e81e-4c8f-415e-82ec-631b177d19d2:186,0.4399522799575822,0.49761399787910926,128
b543e81e-4c8f-415e-82ec-631b177d19d2:191,0.42431071049840935,0.38838812301166487,128
b543e81e-4c8f-415e-82ec-631b177d19d2:235,0.4566542948038176,0.4835630965005302,128
b543e81e-4c8f-415e-82ec-631b177d19d2:238,0.4628844114528102,0.4676564156945917,128
b543e81e-4c8f-415e-82ec-631b177d19d2:259,0.4366383881230117,0.4313361611876988,128
