cell,region,fr_window,n,auc_move_none,p_move_none,auc_move_linear,p_move_linear,auc_move_expanded,p_move_expanded,auc_move_pca_expanded,p_move_pca_expanded,dataset
b83407f8-8220-46f9-9b90-a4c9f150c572:540,SCm,17.536035204517137,55,0.4635854341736695,0.6731634182908546,0.41456582633053224,0.2988505747126437,0.4425770308123249,0.487256371814093,0.41456582633053224,0.29235382308845576,IBL
b83407f8-8220-46f9-9b90-a4c9f150c572:547,SCm,21.63684176696466,55,0.42296918767507,0.3568215892053973,0.3907563025210084,0.16991504247876063,0.4943977591036415,0.9510244877561219,0.4117647058823529,0.2958520739630185,IBL
b83407f8-8220-46f9-9b90-a4c9f150c572:550,SCm,17.342745011448056,55,0.5084033613445378,0.9120439780109945,0.5644257703081232,0.42028985507246375,0.5378151260504201,0.6531734132933533,0.5602240896358543,0.4737631184407796,IBL
b83407f8-8220-46f9-9b90-a4c9f150c572:66,MRN,32.264506219814415,55,0.6890756302521008,0.01899050474762619,0.680672268907563,0.022488755622188907,0.6792717086834734,0.02848575712143928,0.6834733893557423,0.025487256371814093,IBL
b83407f8-8220-46f9-9b90-a4c9f150c572:67,MRN,33.28438111099016,55,0.6512605042016807,0.06746626686656672,0.680672268907563,0.02848575712143928,0.680672268907563,0.022488755622188907,0.6624649859943977,0.049475262368815595,IBL
b83407f8-8220-46f9-9b90-a4c9f150c572:75,MRN,61.41240841585984,55,0.3081232492997199,0.018490754622688656,0.30532212885154064,0.01249375312343828,0.3711484593837535,0.10844577711144428,0.3123249299719888,0.017991004497751123,IBL
b83407f8-8220-46f9-9b90-a4c9f150c572:77,MRN,19.09015854290241,55,0.22549019607843138,0.0009995002498750624,0.21428571428571427,0.0004997501249375312,0.28851540616246496,0.0074962518740629685,0.22969187675070027,0.0014992503748125937,IBL
b83407f8-8220-46f9-9b90-a4c9f150c572:80,MRN,10.063233880180338,55,0.592436974789916,0.2518740629685157,0.6246498599439776,0.13243378310844578,0.5826330532212886,0.2993503248375812,0.6120448179271709,0.16391804097951024,IBL
b83407f8-8220-46f9-9b90-a4c9f150c572:95,MRN,34.32479397218388,55,0.5140056022408963,0.8695652173913043,0.561624649859944,0.46326836581709147,0.5182072829131653,0.8185907046476761,0.5504201680672269,0.5307346326836582,IBL
bdb2ec51-d948-4428-b2cc-2c6cd5bf5fe3:3,GRN,47.29986298682038,22,0.6068376068376068,0.4357821089455272,0.5470085470085471,0.7201399300349826,0.5042735042735043,1.0,0.5982905982905983,0.4732633683158421,IBL
